"GEOID","RPL_theme1","RPL_theme2","RPL_theme3","RPL_theme4","RPL_themes","year","state"
"35004",0.0865,0.1777,0.1792,0.2296,0.077,2018,"AL"
"35005",0.695,0.8695,0.7311,0.7233,0.8412,2018,"AL"
"35006",0.2783,0.4057,0.0597,0.4843,0.2358,2018,"AL"
"35007",0.1651,0.2689,0.8821,0.6321,0.4528,2018,"AL"
"35010",0.6918,0.8852,0.7594,0.9528,0.9245,2018,"AL"
"35013",0.4984,0,0.9984,0.1274,0.1572,2018,"AL"
"35014",0.555,0.6572,0.728,0.7767,0.7594,2018,"AL"
"35016",0.2343,0.7563,0.4355,0.5692,0.4686,2018,"AL"
"35019",0.4214,0.2987,0.5833,0.3349,0.3632,2018,"AL"
"35020",0.9135,0.9387,0.9937,0.9371,0.9953,2018,"AL"
"35022",0.1714,0.5157,0.9041,0.6116,0.511,2018,"AL"
"35023",0.3506,0.7154,0.6714,0.728,0.6651,2018,"AL"
"35031",0.6462,0.5126,0.7201,0.5849,0.684,2018,"AL"
"35032",0.2107,0.4953,0.2689,0.0535,0.0975,2018,"AL"
"35033",0.7154,0.6258,0.066,0.4701,0.4843,2018,"AL"
"35034",0.794,0.3899,0.8978,0.9827,0.9261,2018,"AL"
"35035",0.3396,0.0456,0.1981,0.0456,0.0393,2018,"AL"
"35036",0.9953,0.967,0.4654,0.3899,0.8978,2018,"AL"
"35040",0.0928,0.228,0.7956,0.5079,0.2862,2018,"AL"
"35042",0.1399,0.2248,0.5723,0.5833,0.2972,2018,"AL"
"35043",0.066,0.1399,0.5629,0.2201,0.1053,2018,"AL"
"35044",0.8396,0.978,0.8286,0.7421,0.9465,2018,"AL"
"35045",0.3884,0.4937,0.7799,0.8868,0.7358,2018,"AL"
"35046",0.4528,0.6855,0.055,0.2264,0.2594,2018,"AL"
"35049",0.511,0.4481,0.7531,0.3475,0.5,2018,"AL"
"35051",0.2626,0.4638,0.75,0.9953,0.7547,2018,"AL"
"35052",0.9969,0.478,0.2296,0.423,0.7201,2018,"AL"
"35053",0.4623,0.2862,0.0597,0.3679,0.2421,2018,"AL"
"35054",0.3302,0.3019,0.5692,0.2107,0.2704,2018,"AL"
"35055",0.4119,0.6635,0.6384,0.8774,0.7343,2018,"AL"
"35057",0.3381,0.4465,0.3994,0.316,0.3302,2018,"AL"
"35058",0.2909,0.3396,0.4481,0.4245,0.3333,2018,"AL"
"35060",0.9497,0.9151,0.3459,0.1101,0.6305,2018,"AL"
"35061",0.8066,0.555,0.5755,0.5582,0.7091,2018,"AL"
"35062",0.2752,0.6415,0.3742,0.1745,0.2484,2018,"AL"
"35063",0.7311,0.6997,0.077,0.3585,0.467,2018,"AL"
"35064",0.7138,0.6006,0.827,0.967,0.9135,2018,"AL"
"35068",0.1619,0.2453,0.8931,0.2626,0.272,2018,"AL"
"35070",0.9182,0.2767,0,0.25,0.3931,2018,"AL"
"35071",0.0991,0.3223,0.7028,0.6148,0.3428,2018,"AL"
"35072",0.6808,0.6195,0.8569,0.6305,0.7657,2018,"AL"
"35073",0.6714,0.7689,0.2893,0.1667,0.445,2018,"AL"
"35074",NA,NA,NA,NA,NA,2018,"AL"
"35077",0.5676,0.2374,0.4937,0.8538,0.6619,2018,"AL"
"35078",0.4874,0.2531,0.6415,0.272,0.3664,2018,"AL"
"35079",0.1761,0.1714,0.3632,0.5204,0.2327,2018,"AL"
"35080",0.0393,0.1431,0.7579,0.0582,0.0503,2018,"AL"
"35082",NA,NA,NA,NA,NA,2018,"AL"
"35083",0.7862,0.956,0.3035,0.4874,0.739,2018,"AL"
"35085",0.6431,0.6053,0.8601,0.6682,0.7673,2018,"AL"
"35087",0.6242,0.0723,0.0472,0.6887,0.3491,2018,"AL"
"35089",0.7657,0.8821,0.4198,0.4072,0.6855,2018,"AL"
"35091",0.0613,0.1761,0.1242,0.033,0.0252,2018,"AL"
